"header","digits2","digits6","digits6_des","notes","SICs","SIC_exclu","SIC","SIC_n"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0295","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0296","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0297","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0298","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0299","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0110","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0111","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0112","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0113","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0114","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0115","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0116","3"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0117","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0118","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0119","5"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0139","5"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0190","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0191","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0192","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0193","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0194","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0195","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0196","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0197","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0198","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020202","Feed grains",,"011, 0139, 019, 0219,0259, 029",,"0199","16"
