"source","destination","flow","dest_output","flow_per"
"880000","200300",552.9,1674.4,0.330207835642618
"890000","200300",15.4,1674.4,0.00919732441471572
"900000","200300",174,1674.4,0.103917821309126
"880000","200400",41.1,141.3,0.290870488322718
"890000","200400",1.2,141.3,0.00849256900212314
"900000","200400",11.3,141.3,0.0799716914366596
"880000","200501",2270.1,9197,0.246830488202675
"890000","200501",100,9197,0.010873110796999
"900000","200501",1077.8,9197,0.117190388170055
"880000","200502",1481.2,4347.1,0.3407329023947
"890000","200502",35.2,4347.1,0.00809735225782706
"900000","200502",679.9,4347.1,0.156403119320927
"880000","200600",1580.3,6842.1,0.230967100743924
"890000","200600",156.9,6842.1,0.022931556101197
"900000","200600",773.6,6842.1,0.113064702357463
"880000","200701",534.2,1853.6,0.28819594302978
"890000","200701",12.6,1853.6,0.006797583081571
"900000","200701",155.3,1853.6,0.0837829089339664
"880000","200702",593.9,2431.7,0.244232429987252
"890000","200702",30.3,2431.7,0.0124604186371674
"900000","200702",282.8,2431.7,0.116297240613563
"880000","200703",885.4,4082.2,0.216892851893587
"890000","200703",11.4,4082.2,0.00279261182695605
"900000","200703",414,4082.2,0.101415903189457
"880000","200800",266.3,2147.7,0.123993108907203
"890000","200800",33,2147.7,0.0153652744796759
"900000","200800",178.2,2147.7,0.08297248219025
"880000","200901",406.9,1472.3,0.276370304965021
"890000","200901",25.4,1472.3,0.0172519187665557
"900000","200901",85.1,1472.3,0.0578007199619643
"880000","200903",1029.7,3189.7,0.322820327930526
"890000","200903",48.7,3189.7,0.0152678935323071
"900000","200903",388.5,3189.7,0.121798288240273
"880000","200904",636.6,2812.3,0.226362763574299
"890000","200904",71.7,2812.3,0.0254951463215162
"900000","200904",352.5,2812.3,0.125342246559755
"880000","210000",191.1,547.4,0.349104859335038
"890000","210000",3.4,547.4,0.0062111801242236
"900000","210000",15.6,547.4,0.0284983558640848
"880000","220101",2497.6,7826.7,0.319112780609963
"890000","220101",66,7826.7,0.00843267277396604
"900000","220101",930.8,7826.7,0.118926239666782
"880000","220102",134.1,403,0.332754342431762
"890000","220102",4.6,403,0.0114143920595534
"900000","220102",22.8,403,0.056575682382134
"880000","220103",115.3,348.2,0.331131533601379
"890000","220103",1.7,348.2,0.00488225157955198
"900000","220103",37.6,348.2,0.107983917288914
"880000","220200",1602.8,5370.2,0.298461882239023
"890000","220200",29.5,5370.2,0.00549327771777588
"900000","220200",601.6,5370.2,0.112025622881829
"880000","220300",627.8,2097.5,0.299308700834327
